,,left_side,right_side,similarity
7,36,"Motif Seattle 1415 Fifth Ave Seattle, WA 98101 _0","Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A",0.142762704
7,37,"Motif Seattle 1415 Fifth Ave Seattle, WA 98101 _0","W Seattle 1112 4th Ave, Seattle, WA 98101_0",0.030825109
7,38,"Motif Seattle 1415 Fifth Ave Seattle, WA 98101 _0","Hilton Seattle 1301 6th Avenue Seattle, Washington, 98101-2314, USA_0",0.028725522
7,39,"Motif Seattle 1415 Fifth Ave Seattle, WA 98101 _0","Sheraton Grand Seattle 1400 6th Avenue, Seattle, Washington 98101 USA_0",0.028515528
8,40,"Warwick Seattle 401 Lenora Street Seattle, Washington 98121_0","Warwick Seattle 401 Lenora Street Seattle, Washington 98121_0",1
8,41,"Warwick Seattle 401 Lenora Street Seattle, Washington 98121_0","Renaissance Seattle Hotel 515 Madison Street, Seattle, Washington 98104_0",0.125903501
8,42,"Warwick Seattle 401 Lenora Street Seattle, Washington 98121_0","Quality Inn & Suites Seattle Center 618 John Street, Seattle, Washington 98109_0",0.114861555
8,43,"Warwick Seattle 401 Lenora Street Seattle, Washington 98121_0","Hotel Seattle 315 Seneca Street, Seattle, WA 98101_0",0.063223923
8,44,"Warwick Seattle 401 Lenora Street Seattle, Washington 98121_0","Roy Street Commons 621 12th Avenue East, Seattle, Washington 98102_0",0.053295262
9,45,"Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A","Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A",1
9,46,"Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A","Hilton Garden Inn Seattle Downtown 1821 Boren Avenue, Seattle Washington 98101 USA_a",0.602444128
9,47,"Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A","Motif Seattle 1415 Fifth Ave Seattle, WA 98101 _0",0.142762704
9,48,"Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A","Holiday Inn Seattle Downtown 211 Dexter Ave N, Seattle, WA 98109_0",0.109785879
9,49,"Hilton Garden Inn Seattle Downtown 1821 Boren Ave, Seattle WA 98101 USA_A","Homewood Suites by Hilton Seattle Downtown 206 Western Ave W, Seattle, WA 98119_0",0.058847416
10,50,"Four Seasons Hotel Seattle 99 Union St, Seattle, WA 98101_0","Four Seasons Hotel Seattle 99 Union St, Seattle, WA 98101_0",1
10,51,"Four Seasons Hotel Seattle 99 Union St, Seattle, WA 98101_0","Hotel Seattle 316 Seneca St, Seattle, WA 98101_0",0.139732501
