uniqueid,suffix,name,address,city,state,partner
1766,A,,,Baltimore,MD,Enterprise Homes
1767,A,,,Baltimore,MD,Baltimore Corporation for Housing Partnerships
1768,A,,,Baltimore,MD,Sandtown Winchester CDC/Savannah Joint Venture
1769,A,,,Baltimore,MD,Sandtown Winchester Community Dev. Corporation
1770,A,,,Baltimore,MD,Maryland Homeless Veterans
1771,A,,,Baltimore,MD,Neighborhood Development Center
1772,A,,,Baltimore,MD,City Homes
1773,A,,,Baltimore,MD,Peoples Homesteading Group
1774,A,,,Baltimore,MD,Peoples Homesteading Group
1775,A,,,Baltimore,MD,Baltimore Housing Roundtable
1776,A,,,Baltimore,MD,Neighborhood Development Center
1777,A,,,Baltimore,MD,Baltimore American Indian Center
1778,A,,,Baltimore,MD,Jubilee Baltimore
1779,A,,,Baltimore,MD,Maryland Housing Resources Corporation
1780,A,,,Baltimore,MD,City Homes
1781,A,,,Baltimore,MD,Maryland Homeless Veterans
1782,A,,,Baltimore,MD,Community Bldg in Partnership Inc
1783,A,,,Baltimore,MD,Housing America Through Training (HATT)
1784,A,,,Baltimore,MD,Peoples Homesteading Group
1785,A,,,Baltimore,MD,"Community Services network, Inc"
1786,A,,,Baltimore,MD,City Homes
1787,A,,,Baltimore,MD,Baltimore Corporation for Housing Partnerships
1788,A,,,Baltimore,MD,City Homes
1789,A,,"2717,2808,2906,3216,Baker&2903 Brig",Baltimore,MD,Inner City Community Development Corp.
1790,A,,3006 BRIGHTON STREET,Baltimore,MD,Inner City Community Development Corp.
1791,A,,301 North High St,Baltimore,MD,Maryland Homeless Veterans
1792,A,,301 North High St,Baltimore,MD,Maryland Homeless Veterans
1793,A,,321 EAST 25TH STREET,Baltimore,MD,St. Ambrose Housing Aid Center
1794,A,,321 East 25th Street,Baltimore,MD,St. Ambrose Housing Aid Center
1795,A,,"E. Eager, Barnes, N. Broadway",Baltimore,MD,"Riker ""Rocky"" McKenzie Human Develop"
1796,A,1272 Gittings Avenue,1272 Gittings Avenue,Baltimore,MD,St. Ambrose
1797,A,1282 Walker Avenue,1282 Walker Avenue,Baltimore,MD,St. Ambrose
1798,A,1381 Limit Avenue,1381 Limit Avenue,Baltimore,MD,St. Ambrose
1799,A,15-unit SRO Homeless Youth,2100 - 2102 Maryland Avenue,Baltimore,MD,Empire Homes of Maryland
1800,A,200 Home Project,Leslie Street,Baltimore,MD,Sandtown Habitat for Humanity
1801,A,21 Rental Units,,Baltimore,MD,Harlem Park Revitalization Corp.
1802,A,2131 Dukeland Street,2131 Dukeland Street,Baltimore,MD,Coppin Heights CDC
1803,A,2509 Fairway,2509 Fairway,Baltimore,MD,St. Ambrose
1804,A,2538 Ashland Avenue,2538 Ashland Avenue,Baltimore,MD,St. Ambrose
1805,A,3 sites in Baltimore County,,Baltimore,MD,Revisions Community Housing Development
1806,A,320 West 29th Street,320 West 29th Street,Baltimore,MD,Seawall Development Company
1807,A,3305 Cedarhurst Road,3305 Cedarhurst Road,Baltimore,MD,St. Ambrose
1808,A,3306 Richmond Avenue,3306 Richmond Avenue,Baltimore,MD,St. Ambrose
1809,A,3421 Fleetwood Ave,3421 Fleetwood Ave,Baltimore,MD,St. Ambrose
1810,A,3616 Bellevale Road,3616 Bellevale Road,Baltimore,MD,St. Ambrose
1811,A,3924 Rexmere Road,3924 Rexmere Road,Baltimore,MD,St. Ambrose
1812,A,4012 Rexmere Road,4012 Rexmere Road,Baltimore,MD,St. Ambrose
1813,A,4316 Greenhill Avenue,4316 Greenhill Avenue,Baltimore,MD,St. Ambrose
1814,A,4322 Roberton Avenue,4322 Roberton Avenue,Baltimore,MD,St. Ambrose
1815,A,4747 Chatford Avenue,4747 Chatford Avenue,Baltimore,MD,St. Ambrose
1816,A,5203 Wyndholme Circle,5203 Wyndholme Circle,Baltimore,MD,St. Ambrose
1817,A,5919 Leith Walk,5919 Leith Walk,Baltimore,MD,St. Ambrose
1818,A,620 Charraway Road,620 Charraway Road,Baltimore,MD,St. Ambrose
1819,A,630 Charraway Road,630 Charraway Road,Baltimore,MD,St. Ambrose
1820,A,6501 Moyer Avenue,6501 Moyer Avenue,Baltimore,MD,St. Ambrose
1821,A,6601 Moyer Avenue,6601 Moyer Avenue,Baltimore,MD,St. Ambrose
1822,A,706 S. Woodington Road,706 S. Woodington Road,Baltimore,MD,St. Ambrose
1823,A,AHC Greater Baltimore & Michaels Development,1200 Gusryan Street,Baltimore,MD,AHC of Greater Baltimore
1824,A,AHEPA Senior Housing,1351 S Clinton St,Baltimore,MD,Enterprise Homes
1825,A,AHEPA Senior Housing,1351 S Clinton St,Baltimore,MD,Jubilee Baltimore
1826,A,AIRS/Charles North Housing Project,,Baltimore,MD,"AIDS Interfaith Residential Services, Inc."
1827,A,Alcott Place,2702 Keyworth Ave,Baltimore,MD,Savannah Development Corp.
1828,A,Allendale,3600 W. Franklin Street,Baltimore,MD,"Allendale Apartments, L.P."
1829,A,Anchors of Hope Phase III,450 E 22nd St,Baltimore,MD,Peoples Homesteading Group
1830,A,Anchors of Hope Phase III,450 E 22nd St,Baltimore,MD,Peoples Homesteading Group
1831,A,"Anchors of Hope, Phase III and Phase III-A",450 E 22nd St,Baltimore,MD,Peoples Homesteading Group
1832,A,Arbor Oaks Apartments,"800-808, 810-816, 801-809, 811-819, 821-825 Dartmouth Rd, 801-807, 809-813 Lenton Ave, 5601-5607, 5602-5608, 5610-5618 McLean Blvd, 3401-3413, 3416-3424 Mary Ave",Baltimore,MD,"Struever Brothers Eccles & Rouse, Inc."
1833,A,Ashbuton Apartments,3401 Oakfield Ave,Baltimore,MD,Episcopal Housing Corporation
1834,A,Ashland Commons,1715 E. Eager Street,Baltimore,MD,Ashland LLLP
1835,A,Baker & Division St.,584 Baker Street,Baltimore,MD,Druid Heights Community Development Corp.
1836,A,Bakers View Street Project Phase I,584 Baker Street,Baltimore,MD,Druid Heights Community Development Corp.
1837,A,Baltimore Design School,1500 Barclay Street,Baltimore,MD,Jubilee Baltimore
1838,A,Baltimore Replacement Housing Program  - SUB LOAN,5727 Green Spring Ave,Baltimore,MD,Homes for America
1839,A,Baltimore Replacement Housing Program - SUB LOAN,105 Elinor Avenue,Baltimore,MD,Homes for America
1840,A,Barclay Midway Old Goucher Phase 1A,Multiple Addresses,Baltimore,MD,Telesis Corporation
1841,A,Basilica Place,124 W Franklin Street,Baltimore,MD,Enterprise Homes/Catholic Charities
1842,A,Basilica Place Apartments,124 West Franklin Street,Baltimore,MD,Associated Catholic Charities
1843,A,Bellevieu-Manchester,342-344 Bloom St,Baltimore,MD,MADC c/o Madison Avenue Presbyterian Church
1844,A,Bellevieu-Manchester,342-344 Bloom St,Baltimore,MD,Bellevieu Manchester Limited Partnership
1845,A,Bellevieu-Manchester,342-344 Bloom St,Baltimore,MD,MADC c/o Madison Avenue Presbyterian Church
1846,A,Belvedere Square,501 East Belvedere Ave,Baltimore,MD,"Struever Brothers Eccles & Rouse, Inc."
1847,A,Benet House Apartments,399 Millington Avenue,Baltimore,MD,"Unity Properties,Inc."
1848,A,Benet House Apartments,400 Millington Avenue,Baltimore,MD,Enterprise Homes
1849,A,Benet House Apartments,400 Millington Avenue,Baltimore,MD,Bon Secours
1850,A,Bennet Apts,East St.,Baltimore,MD,"St. Pius V Housing Committee, Inc."
1851,A,Bennett House,14 East Franklin St,Baltimore,MD,"Women's Housing Coalition, Inc."
1852,A,"Berwick, Hart, and Mount Ridge - SUB LOAN","2702 Berwick, 1697 Hart #234, 6126 Mount Ridge",Baltimore,MD,Homes for America
1853,A,BHP Patriots,1533 Barclay St.,Baltimore,MD,"Greenmount Homes, Inc."
1854,A,BOAML - Enterprise Homes,312 Martin Luther King Jr Blvd,Baltimore,MD,"Enterprise Homes, Inc."
1855,A,BOAML - Mt. Vernon Mill,2980-3030 Falls Road,Baltimore,MD,MVM Funding LLC / Mt Vernon Mill LLC
1856,A,Bon Secours - Gibbons Apartments,900 Desoto Road,Baltimore,MD,"Bon Secours Gibbons Apartments, LP."
1857,A,Bon Secours Apartments,"1804, 1808, 1811, 1814, 1816, 1825, 1827, 1836, 1842, 1844, 1846, 1848, 1850, 1935, 1937 W Baltimore St",Baltimore,MD,Enterprise Homes
1858,A,Bon Secours Apartments,"1804, 1808, 1811, 1814, 1816, 1825, 1827, 1836, 1842, 1844, 1846, 1848, 1850, 1935, 1937 W Baltimore St",Baltimore,MD,"Unity Properties, Inc."
1859,A,Bon Secours Apartments III,"1801, 1819, 1822, 1824, 1837, 1839, 1843, 1945, 1904, 1910, 1920, 1932, 2009, 2011, 2013 W Baltimore St",Baltimore,MD,Enterprise Homes
1860,A,Bon Secours Apartments III,"1801, 1819, 1822, 1824, 1837, 1839, 1843, 1945, 1904, 1910, 1920, 1932, 2009, 2011, 2013 W Baltimore St",Baltimore,MD,"Unity Housing, Inc."
1861,A,Bon Secours Apartments V/Chesapeake Apartments,1800-2100 blocks of W. Balto. St. & 1 unit block of S. Fulton Avenue,Baltimore,MD,Bon Secours of Maryland Foundation
1862,A,Bon Secours Chesapeake Apartments,"1810-A W. Baltimore St., 1810-B W. Baltimore St., 1820-A W. Baltimore St., 1820-B W. Baltimore St., 1917-A W. Baltimore St., 1917-B W. Baltimore St., 1918-A W. Baltimore St., 1918-B W. Baltimore St., 1919-A W. Baltimore St., 1919-B W. Baltimore St., 2017-",Baltimore,MD,Enterprise Homes
1863,A,"Bon Secours Chesapeake Apartments, Limited Partnership",1800-2100 Baltimore Street; 1 S. Fulton Bldg #1,Baltimore,MD,"Unity Properties, Inc."
1864,A,Bon Secours Elderly Apartments,Liberty Road,Baltimore,MD,Bon Secours of Maryland Foundation
1865,A,Bon Secours II,"1802, 1807, 1813, 1900, 1914, 1924, 1933, 1815, 1817, 1821, 1812, 1840, 1908, 1916, 1941 W Baltimore St",Baltimore,MD,Enterprise Homes
1866,A,Bon Secours II,"1802, 1807, 1813, 1900, 1914, 1924, 1933, 1815, 1817, 1821, 1812, 1840, 1908, 1916, 1941 W Baltimore St",Baltimore,MD,"Unity Properties, Inc."
1867,A,Bon Secours Liberty Village,3000 Towanda Ave,Baltimore,MD,Enterprise Homes
1868,A,Bon Secours Liberty Village,3000 Towanda Ave,Baltimore,MD,Enterprise Homes
1869,A,Bowleys Garden Villa,5200 Bowleys Lane,Baltimore,MD,CSI Support & Development Services
1870,A,Bretton Terrace,"3641, 3701, 3707, 3711 Greenmount, 1313 Ensor",Baltimore,MD,"Greenmount Homes, Inc."
1871,A,Broadway Court,925 N Broadway,Baltimore,MD,"Struever Brothers Eccles & Rouse, Inc."
1872,A,Broadway North,"1005, 1007, 1009, 1011, 1013, 1015, 1017, 1019, 1021, 1023 N Broadway",Baltimore,MD,Enterprise Homes
1873,A,Broadway North,"1005, 1007, 1009, 1011, 1013, 1015, 1017, 1019, 1021, 1023 N Broadway",Baltimore,MD,Wolfe Street Development Company
1874,A,Brooklyn Curtis Bay,501 Jeffrey,Baltimore,MD,Chesapeake Habitat for Humanity
1875,A,Brooklyn Curtis Bay,642 Patapsco,Baltimore,MD,Chesapeake Habitat for Humanity
1876,A,Brooklyn/Curtis Bay Project,"800 Jack, 811 E. Jeffrey, 815 E. Jeffrey, 803 Stoll, 828 Stoll, 830 Stoll, 900 Stoll, 915 Stoll, 917 Stoll, 918 Stoll, 
919 Stoll, 921 Stoll, 3923 8th",Baltimore,MD,Chesapeake Habitat for Humanity
1877,A,Bruce Street,7 N. Bruce St.,Baltimore,MD,St. Ambrose Housing Aid Center
1878,A,Brunt Manor I,,Baltimore,MD,Druid Heights Community Development Corp.
1879,A,Brunt Manor II,2200 Block of Brunt St,Baltimore,MD,Druid Heights Community Development Corp.
1880,A,Burleith & Dolfield Apts,"2613-21 FIARFIELD AVE,3900 DOLEFIED",Baltimore,MD,Burdol Limited Partnership
1881,A,Burleith Apartments,2601-2613 Fairview Ave.,Baltimore,MD,Wallace H. Campbell & Co.
1882,A,Burleith Ridge Apts./Dolfield Village Apts.,"2601, 2603, 2605, 2607, 2609 Fairview Ave, 3202, 3204 Burleith Ave, 3902-3909 Penhurst, 3909, 3911, 3913 Dolfield Ave",Baltimore,MD,"Pennfair, Inc."
1883,A,Butchers Row Apartments,"2021, 2022, 2025, 2027, 2029, 2032 E Baltimore St",Baltimore,MD,"Neighborhood Rental Services of Baltimore, Inc."
1884,A,Calverton Apartments,119 E 25th St,Baltimore,MD,"Women's Housing Coalition, Inc."
1885,A,Can Company,2400 Boston St,Baltimore,MD,Canton Court LLC
1886,A,Charles R. Uncles Plaza LP,607 Pennsylvania Ave,Baltimore,MD,Druid Heights Community Development Corp.
1887,A,Charles R. Uncles Senior Plaza,607 Pennsylvania Ave,Baltimore,MD,Druid Heights Community Development Corp.
1888,A,Chase House,1027 Cathedral Street,Baltimore,MD,Homes For America
1889,A,Cherry Hill Nehemiah,3400 block of Round Road & 1300 block of Spellman Rd (21225),Baltimore,MD,Enterprise Homes
1890,A,Cherrydale Apartments,1118 Cherrydale Road,Baltimore,MD,Cornerstone Housing Corp
1891,A,Cherrydale Apartments,1118 Cherrydale Road,Baltimore,MD,Enterprise Homes
1892,A,Cherrydale Apartments,1118 Cherrydale Road,Baltimore,MD,Enterprise Homes
1893,A,Cherrydale Apartments,1118 Cherrydale Road,Baltimore,MD,Enterprise Homes
1894,A,Cherrydale Apartments,1118 Cherrydale Road,Baltimore,MD,Enterprise Homes
1895,A,City Arts Apartments,1500 Greenmount Avenue,Baltimore,MD,Homes for America
1896,A,City Arts Apartments,1500 Greenmount Avenue,Baltimore,MD,Homes for America
1897,A,City Arts II Apartments,1700 Greenmount Ave,Baltimore,MD,Homes For America
1898,A,City Arts II Apartments,1700 Greenmount Avenue,Baltimore,MD,Homes for America
1899,A,City Homes III,"1717, 1719 Baker St, 2113 E Chase St, 2226 E Madison St, 1520 N Bruce St, 1607, 1615m 1804 Laurens St, et al",Baltimore,MD,City Homes
1900,A,City Homes III,"1717, 1719 Baker St, 2113 E Chase St, 2226 E Madison St, 1520 N Bruce St, 1607, 1615m 1804 Laurens St, et al",Baltimore,MD,City Homes
1901,A,City Homes III,"1717, 1719 Baker St, 2113 E Chase St, 2226 E Madison St, 1520 N Bruce St, 1607, 1615m 1804 Laurens St, et al",Baltimore,MD,City Homes
1902,A,City Homes III,"1717, 1719 Baker St, 2113 E Chase St, 2226 E Madison St, 1520 N Bruce St, 1607, 1615m 1804 Laurens St, et al",Baltimore,MD,City Homes
1903,A,Clare Court Limited Partnership,3725 Ellerslie Ave,Baltimore,MD,Homes for America
1904,A,Clare Court LP,3725 Ellerslie Avenue,Baltimore,MD,Homes for America
1905,A,Coel Grant Higgs Senior Center,1700 N. Gay St,Baltimore,MD,CGH Limited Partnership
1906,A,Coel Grant Higgs Senior Center,1700 N. Gay St,Baltimore,MD,Southern Baptist CDC
1907,A,Coel-Grant-Higgs Senior Center,1700 N. Gay St,Baltimore,MD,Southern Baptist CDC
1908,A,COLEMAN MANOR,2201 WALBROOK AVE,BALTIMORE,MD,Homes for America
1909,A,Community Housing Associates,"1809 W Baltimore St, et al",Baltimore,MD,Baltimore Mental Health Systems
1910,A,Community Housing Associates II,606 N Curley Ave et al,Baltimore,MD,Baltimore Mental Health Systems
1911,A,CPDC/Hollins House,1010 West Baltimore Street,Baltimore,MD,Community Preservation Dev Corp
1912,A,Cross Street Project,,Baltimore,MD,Tri Churches Housing
1913,A,Dayspring Square,1125 N Patterson Park Avenue,Baltimore,MD,"Dayspring Programs, Inc."
1914,A,Decker Avenue Project,N Decker St,Baltimore,MD,Patterson Park CDC
1915,A,Dolfield Apartments,3902-3909 Renhurst Ave.,Baltimore,MD,Wallace H. Campbell & Co.
1916,A,Douglas Memorial Apartments,1301-1323 Madison Avenue,Baltimore,MD,"Douglas Memorial Community Church Village, Inc."
1917,A,Druid Hill YMCA,"1609, 1621 Druid Hill Ave",Baltimore,MD,YMCA of Central Maryland
1918,A,Druid House,1820 McCulloh St.,Baltimore,MD,Druid Heights Community Development Corp.
1919,A,Druid House/Transitional Housing for Homeless,"1711, 1820, 1904, 1906, 2102, 2135 McCulloh St",Baltimore,MD,Druid Heights Community Development Corp.
1920,A,Duncan Square,,Baltimore,MD,Southeast Community Development Corp.
1921,A,E. Baltimore HOPE 3 Ph. II,"1300 blk. N. Patterson Park Avenue & 2200 blk. E. Preston Street, 1000 blk. N. Broadway, 2100-2200 blk. E. Preston, 1300 blk. N. Chester, 1500 blk. E. Madison St., 1300-1400 blk. N.",Baltimore,MD,Enterprise Homes
1922,A,East Baltimore Revitalization,"2408 E. Fayette Street, 2410 E. Fayette Street, 2412 E. Fayette Street, 2414 E. Fayette Street, 2416 E. Fayette,  Street, 2418 E. Fayette Street, 2420 E. Fayette Street, 2422 E. Fayette Street, 2121 Jefferson, 2129 Jefferson, 
2413 Jefferson, 2417 Jeffers",Baltimore,MD,Chesapeake Habitat for Humanity
1923,A,Eastern Avenue - Baltimore Medical System,,Baltimore,MD,Southeast Community Development Corp.
1924,A,Ednor Apartments,3500 Ednor Rd.,Baltimore,MD,Enterprise Homes
1925,A,Ednor Apartments II,3500 Ednor Rd.,Baltimore,MD,Enterprise Homes
1926,A,Ednor II,1050 33rd Street,Baltimore,MD,Govans Ecumenical Development Corp.
1927,A,Ednor II,1050 33rd Street,Baltimore,MD,Govans Ecumenical Development Corp.
1928,A,Ednor II Apartments,1050 33rd Street,Baltimore,MD,Govans Ecumenical Development Corp.
1929,A,EHI Shelter Acquisition/Park View at Coldspring,4803 Tamarind Rd,Baltimore,MD,"Shelter Development Holdings, Inc."
1930,A,"EHM at Baltimore County, LLC",1411 and 1423 Forest Park Avenue; 1423 Ingleside Avenue; 1530 Kirkwood Avenue; 1306 Dartmouth Avenue,Baltimore,MD,Empire Homes of Maryland
1931,A,EHM at Calvert Street,"1623, 1625, 1717, 1802, 1804 & 1808 N. Calvert St",Baltimore,MD,Empire Homes of Maryland
1932,A,EHM at Calvert Street,"1623, 1625, 1717, 1802, 1804 & 1808 N. Calvert St",Baltimore,MD,Empire Homes of Maryland
1933,A,"Enterprise Homes, Inc. Working Capital Line of Credit","312 N. Martin Luther King, Jr. Blvd",Baltimore,MD,Enterprise Homes
1934,A,Enterprise Housing Ventures,,Baltimore,MD,Enterprise Homes
1935,A,Evergreen Senior Apartments,1600 Evergreen Way,Baltimore,MD,Enterprise Homes
1936,A,Fair Chance Parking Garage,301-317 N. Front Street,Baltimore,MD,"Fair Chance, Inc."
1937,A,Fairspring Senior Apartments,1121 St Agnes Lane,Baltimore,MD,Waterford Group
1938,A,Fairspring Senior Apartments,1121 St Agnes Lane,Baltimore,MD,Waterford Group
1939,A,Fairspring Senior Apartments,1121 St Agnes Lane,Baltimore,MD,Waterford Group
1940,A,Fells Point,1621 Bank Street,Baltimore,MD,1260 Housing Development Corporation
1941,A,Gertrude Stein House,2408 Linden Avenue,Baltimore,MD,Women's Housing Coalition
1942,A,Gibbons Apartments,900 Desoto Road,Baltimore,MD,"Enterprise Homes, Inc."
1943,A,Govans Ecumenical Development Corporation,1010 E 33rd Street,Baltimore,MD,Govans Ecumenical Development Corporation
1944,A,Green Rowhome Challenge,1111 Ward Street,Baltimore,MD,Habitat for Humanity of the Chesapeake
1945,A,Green Rowhome Challenge,615 Dumbarton Avenue,Baltimore,MD,Habitat for Humanity of the Chesapeake
1946,A,Greenmount West Community Center/AKA School #32,1534 Guildford Avenue,Baltimore,MD,Jubilee Baltimore
1947,A,Guilford Avenue,,Baltimore,MD,East Baltimore Midway Community
1948,A,HAC/Enterprise Nehemiah East Baltimore,W Lafayette and N Calhoun Streets,Baltimore,MD,Enterprise Homes
1949,A,Har Sinai House,3601 Fords Lane,Baltimore,MD,Homes for America
1950,A,Harford House,"1513, 1515, 1517 East North Ave",Baltimore,MD,Govans Ecumenical Development Corp.
1951,A,Harlem Gardens Senior,1700-1720 Edmondson Ave.,Baltimore,MD,Harlem Park Revitalization Corp.
1952,A,Heritage Crossing,620 N FREMONT AVE,Baltimore,MD,Enterprise Homes
1953,A,Heritage Crossing,904 W. Franklin Street,Baltimore,MD,Enterprise Homes
1954,A,Heritage Crossing II,500 N Fremont Avenue,Baltimore,MD,Heritage Crossing II Limited Partnership
1955,A,Heritage Crossing II RAD,904 W. Franklin Street,Baltimore,MD,"Enterprise Homes, Inc."
1956,A,HFA - Charter Oak Road - SUB LOAN,310 Charter Oak Road,Baltimore,MD,Homes for America
1957,A,Highland Community Health Clinic,3425 Eastern Ave,Baltimore,MD,Eastern Gateway LLC
1958,A,Highlandtown Co-Op Plaza,4001-4021 E Lombard St,Baltimore,MD,"Cooperative Services, Inc."
1959,A,Hollins House,1010 W Baltimore St,Baltimore,MD,CPDC Acquisition
1960,A,Hollins House,1010 W Baltimore Street,Baltimore,MD,Community Preservation & Development Corporation
1961,A,Hollins House,1010 West Baltimore Street,Baltimore,MD,"Community Housing, Inc"
1962,A,Hollins Station,4374 Hollins Ferry Rd,Baltimore,MD,Enterprise Homes
1963,A,Hollins Terrace,1800 Hollins St,Baltimore,MD,Bon Secours/Unity Properties
1964,A,Hollins Terrace,1800 Hollins Street,Baltimore,MD,Bon Secours of Maryland Foundation
1965,A,Hollins Terrace,1800 Hollins Street,Baltimore,MD,Bon Secours of Maryland Foundation
1966,A,Home Free USA,1019 W. Fayette Street,Baltimore,MD,Home Free USA
1967,A,Home Free USA,"1019, 1032, 1034, 1035, 1036, 1041, 1043 W. Fayette St",Baltimore,MD,Home Free USA
1968,A,Irvington Woods,4100 Potter Street,Baltimore,MD,Volunteers of America Chesapeake
1969,A,Irvington Woods LP VOA,"4106, 4108 Potter Street",Baltimore,MD,Volunteers of America Chesapeake
1970,A,Jenkins House Limited Partnership,2226 Maryland Ave,Baltimore,MD,Homes for America
1971,A,Johns Hopkins Life Sciences Project,1809 Ashland Ave and 1731 Chase Street,Baltimore,MD,"East Baltimore Development, Inc."
1972,A,Johns Hopkins Life Sciences Project,1809 Ashland Ave and 1731 Chase Street,Baltimore,MD,"East Baltimore Development, Inc."
1973,A,Johnston Square,"1100 block of Somerset, 1200 block of E Chase and 1000 block of Aisquith",Baltimore,MD,Enterprise Homes
1974,A,Justice Place,,Baltimore,MD,Penn North Development Corporation
1975,A,Key's Pointe Residences Conversion (fka O'Donnell Townhomes),1401 Imla Avenue,Baltimore,MD,Michaels Developement / AHC
1976,A,Lanvale,1600 N Rutland Ave,Baltimore,MD,Housing Assistance Corporation
1977,A,Lanvale Apartments LP,1300 E LANVALE ST,Baltimore,MD,Lanvale Apartments LP
1978,A,Lillian Jones Apartments,1400 Greenmount Avenue / Greenmount Ave & Hoffman,Baltimore,MD,Empire Homes of Maryland
1979,A,Madison Avenue,1420 Madison Avenue,Baltimore,MD,Druid Heights Community Development Corp.
1980,A,Manhattan Park,5715 Park Heights Avenue,Baltimore,MD,"Comprehensive Housing Assistance, Inc."
1981,A,Manhattan Park Apartments Limited Partnership,5715 Park Heights Ave,Baltimore,MD,"Comprehensive Housing Assistance, Inc."
1982,A,Manor South Elderly Housing,3617 Fords Lane,Baltimore,MD,"Comprehensive Housing Assistance, Inc."
1983,A,Manor West,3615 Fords Lane,Baltimore,MD,Homes for America
1984,A,Mary Elizabeth Lange Center,601-607 East Chase Street,Baltimore,MD,"James H. Nicholson Joubert, Inc."
1985,A,Mary Harvin Community Center,"1606, 1608 and 1610 Chester Street",Baltimore,MD,Southern Baptist CDC
1986,A,McCulloh Homes Extension,1102 Druid Hill Ave,Baltimore,MD,The Community Builders
1987,A,McCulloh Homes Extension,1102 Druid Hill Ave,Baltimore,MD,The Community Builders
1988,A,McElderry Park Houses,2405 Jefferson,Baltimore,MD,Chesapeake Habitat for Humanity
1989,A,McElderry Park Houses,2412 Fairmont,Baltimore,MD,Chesapeake Habitat for Humanity
1990,A,McElderry Park Houses,2424 Jefferson,Baltimore,MD,Chesapeake Habitat for Humanity
1991,A,McElderry Park Houses,2447 Jefferson,Baltimore,MD,Chesapeake Habitat for Humanity
1992,A,Metro Heights at Mondawmin,2700 Reisterstown Rd,Baltimore,MD,
1993,A,Metro Heights at Mondawmin,2700 Reisterstown Rd,Baltimore,MD,"Enterprise Homes, Inc."
1994,A,Metro Heights at Mondawmin,2700 Reisterstown Rd,Baltimore,MD,"Enterprise Homes, Inc."
1995,A,Micah House (GEDCO),5207 York Road,Baltimore,MD,Govans Ecumenical Development Corp.
1996,A,Millers Court/Cannery Square,2601 North Howard Street,Baltimore,MD,Small Point LLC
1997,A,Monument East,633 Aisquith St,Baltimore,MD,
1998,A,Mount Royal Project,1512 West Mount Royal Avenue,Baltimore,MD,Empire Homes of Maryland
1999,A,Mount Royal Project,1512 West Mount Royal Avenue,Baltimore,MD,Empire Homes of Maryland
2000,A,Mt. Vernon Mill,2980-3030 Falls Road,Baltimore,MD,MVM Funding LLC / Mt Vernon Mill LLC
2001,A,Mulberry at Park,211 West Mulberry Street,Baltimore,MD,"Mulberry at Park, LP"
2002,A,Mulberry at Park,211 West Mulberry Street,Baltimore,MD,Enterprise Housing Corporation
2003,A,Naomi Project,2311 Argonne Dr,Baltimore,MD,"House of Ruth Baltimore, Inc."
2004,A,Nehemiah Homes,,Baltimore,MD,"B.U.I.L.D./Enterprise Nehemiah Development, Inc."
2005,A,New Shiloh Senior Living,26N. Fulton Ave.,Baltimore,MD,Bon Secours of Maryland Foundation
2006,A,New Shiloh Village Apartments,1930 Windsor Avenue,Baltimore,MD,"Unity Properties, Inc."
2007,A,New Shiloh Village Family Apts.,1930 Windsor Avenue,Baltimore,MD,Bon Secours New Shiloh II Limited Partnership
2008,A,New Shiloh Village II,1930 Windsor Avenue,Baltimore,MD,
2009,A,New Shiloh Village Senior Living,1901 Elgin Avenue,Baltimore,MD,Enterprise Homes
2010,A,New Shiloh Village Senior Living,1901 Elgin Avenue,Baltimore,MD,Bon Secours of Maryland Foundation
2011,A,New Shiloh Village Senior Living Center Project,,Baltimore,MD,Bon Secours of Maryland Foundation
2012,A,New Shiolh II,1930 Windsor Avenue,Baltimore,MD,Bon Secours New Shiloh II LP
2013,A,"New Song Community Learning Center, Inc",1500 Presstman Street,Baltimore,MD,"New Song Community Learning Center, Inc"
2014,A,Newington,"943 N Broadway, 1336 N Carey, 511 & 513 N Gilmor, 710 Newington St",Baltimore,MD,City Homes
2015,A,NRS II,"2213, 2231, 2237, 2306 E Jefferson St, 501 N Patterson Pk, 2203, 2032, 2040, 2042 E Fayette St, 2204, 2208, 2210, 2231, 2234 Orleans St, 228, 509 N Collington, 201, 420 N Chester St, 215 N Duncan, 226 N Madeira St",Baltimore,MD,"Neighborhood Rental Services of Baltimore, Inc."
2016,A,NRS Townhouses,406 N. Bradford St.,Baltimore,MD,"Neighborhood Housing Services of Baltimore, Inc."
2017,A,NSP2,152 N. Milton,Baltimore,MD,Chesapeake Habitat for Humanity
2018,A,NSP2,156 Linwood,Baltimore,MD,Chesapeake Habitat for Humanity
2019,A,NSP2,16 N. Luzern,Baltimore,MD,Chesapeake Habitat for Humanity
2020,A,NSP2,215 N. Milton,Baltimore,MD,Chesapeake Habitat for Humanity
2021,A,NSP2,2419 E. Fayette,Baltimore,MD,Chesapeake Habitat for Humanity
2022,A,NSP2,2419 Jefferson,Baltimore,MD,Chesapeake Habitat for Humanity
2023,A,NSP2,2423 Jefferson,Baltimore,MD,Chesapeake Habitat for Humanity
2024,A,NSP2,2710 Pulaski,Baltimore,MD,Chesapeake Habitat for Humanity
2025,A,NSP2,39 N. Belnord,Baltimore,MD,Chesapeake Habitat for Humanity
2026,A,NSP2,431 N. Glover,Baltimore,MD,Chesapeake Habitat for Humanity
2027,A,Ocala Park,"2300, 2302 Ocala Ave, 2900, 2902, 2904 Reisterstown Rd",Baltimore,MD,"Greenmount Homes, Inc."
