name,address
Arroyo Village,3450 W 13th Ave.
Ashby Green Apartments - Phase II,7616 Ashby Landings Drive
Ashe,2504  Ashe
Ashe,2018 Ashe
Ashe,2618 Ashe
Aspen Park Apartments (2nd Supplemental),301 Malley Drive
AT&T Building (Solon),6450 Davis Industrial Parkway
Athens Medical consulting fee,340 North Milledge Ave
Atlantic Crossing - Phase I,Northeast corner of Atlantic Avenue & US 1 North
Atlantic Palms,2510 Atlantic Palms Lane
Avaire (AKA Casino Lane) Supplemental,824 W. Casino Road
Avenue Place - Phase 10,"4319, 4326, 4202, 4206 Darter; 1034, 1038, 1031 Hillstar; 4334 Cetti, 4338 Cetti"
Baker Roofing: Charlotte & Greensboro,4700 Nations Crossing Road
Barrister Court Apartments,1016 McGowan Street
Battery Park Lofts - Bridge,1250 W 75th ST
Bay Pointe Townhomes,52280 Rutherford Circle
Bay Pointe Townhomes - Bridge,52280 Rutherford Circle
Bayberry Place Townhomes Sup 2,2300 Deewood Drive
Beach Access fka Del Playa Apartments,6508 Del Playa Drive
Beach Medical Office Building-Refi,17742 Beach Boulevard
Beachcliff Apartments,22455 Lake Rd
Beacon House Square,3549-3555 Old Frederick Road
Beacon Ridge,2003 State Street
Beacon Ridge,2003 State Street
Bedford Retail (Former Walmart),22209 Rockside Road
Bel Clare MHC Bridge,3210 Bel Clare Drive
Bella Vida,1111 S Cimarron Rd
Belle Place MHC,600 Saint Nazaire Road
Bennett Industrial Refi,1953-2005 Hammondville Road
Bent Tree Apartments,8405 Bent Tree Road
Bernal Gateway,3101 Mission St
Best Western Plus-Spartanburg,125 Sloane Garden Road
Bingham Park,120 Bingham Drive
Bingham Park,120 Bingham Drive
Bitter Lake, 924 & 934 N 143rd Street
Bitter Lake, 924 & 934 N 143rd Street
Bitter Lake (BH), 912 & 916 N 143rd Street
Black & Orange,"83 Scuppernong Way, Clayton, NC 27520 ; 42 Drop Seed Lane, Smithfield, NC 27577; 138 Balboa Parkway, Clayton, NC 27520; 53 Manito Place Clayton, NC 27520 ; 59 59 Golden Gate Parkway Clayton, NC 27520 ; 184 Honeybee Trace, Clayton, NC 27520; 124 Honeybee Trace, Clayton, NC 27520 ; 173 Carissa Drive, Smithfield, NC 27577 ; 105 Sloan Drive, Clayton, NC 27520 ; 120 W Webber Lane, Clayton, NC 27527 ; 213 E Webber Lane, Clayton, NC 27527 ; 236 Haywood Lane, Clayton, NC 27527 ; 29 Verrazano Place, Clayton, NC 27520 ; 101 Sloan Drive, Clayton, NC 27527; 104 Parkview Drive, Clayton, NC 27520; 133 Tarkenton Court, Clayton, NC 27527"
Bluebird Apartments,904 Rice St
Bon Air,2501 N Apperson Way
Bon Air - Assumption,2501 North Apperson Way
Bond Street 20,1970 & 1986 Medical Center Parkway
Bond Street 20,2434 Nicholasville Road
Bond Street 21 2019 Loan,1225 Veterans Parkway
Bond Street 21 2019 Loan,715 Louisville Rd
Bond Street Fund 18,1120 & 1150 W. State of Franklin Rd and 3905 Lebanon Pike
Bond Street Fund 19,2011 Von Schilling Drive; 2051-2099 Sun Harbour View Blvd
Boulder Creek Apartments (AHF),300 Furman Hall Road
Boulder Creek I,7601 W Boulder Creek Place
Boulder Creek II,7700 West Boulder Creek Place
Bourgogne Bywater,2930 Burgundy Street
Branch West Orange Jewel- Construction,1725 W Katella
Branch West Orange Jewel- Mezz/Equity,1725 W Katella
Brentwood Crossing (AHF),308 Brentwood Street
Briarwood Square,7545 Katella Ave
Bridge at Asher,10505 South IH-35
Bridgewater at Town Center,507 Marcella Rd
Brightwood Gardens,931 Longfellow St NW
Brittany Woods/Park Chase (AHF),1150 Old Statenville Road
Broadway Townhomes,"625, 645, 669 Broadway Street"
Broderick Tower,10 Witherell Street
Brooks-Ontario Industrial Park,1440 & 1454 Brooks Street
Brynwood Apartments,105 Rebel Drive
Bryson Square,24006 108th Place SE
Buckeye Trails,10610 E. State Rte 762
Buckhorn Village,814 Mill Alley
Buggyworks,390-400 W. Nationwide Blvd.
Burbank Terrace (2019),13930 Burbank Blvd
C & D Building-2019,51446 and 51810 Danview Technology Court
Cabrillo Business Park,5450-5490 Complex St
Cahuenga Village,3701 Cahuenga Blvd.
Calabazas Community Apartments,3311 Kifer Road
Calhoun West,3028 & 3050 Ewing Avenue S and 3029 France Ave S
California Affordable Partners,"225 41st Street, Oakland, CA, 94611; 801 Tupper Street, Santa Rosa, CA, 95404; 90 Grandview Street, Santa Cruz, CA, 95060; 7252 Munson Way, Sacramento, CA, 95823; 5412 47th Ave, Sacramento, CA, 95824; 2088 W. La Loma Dr, Rancho Cordova, CA, 95670; 1101 Prospect Ave, Santa Rosa, CA, 95409"
California Club,538 S Flower St
Camino Town & Country,2213 - 2281 El Camino Real
Canal Road Warehouse-Refinance,5535-5555 Canal Road
Cane Run & Bridwell Apartments,4950 Cane Run Rd; 3311 Bridwell Dr
Capital Towers,4808 Six Forks Road
Capital Towers,4808 Six Forks Road
Capital Towers,4808 Six Forks Road
Capstone Distribution(Rouse),2100 & 2120 Capstone Drive
Carlsbad Oaks North - Lot 4,2810 Caribou Court
CarMax,877 Brevard Road
Carnaby Center,5929-5975 E Main St
Carriage Gate Refinance,833-859 Eastern Bypass
Carriage House,3535 Derbyshire Drive
Carriage House,3535 Derbyshire Drive
Carrington Chase,6280 South Norcross-Tucker Rd
Carrington Court,3800 Club Dr
Carson 7th St,10750 7th Street
Carson Bayport III Bldg 4,4311 Malone Drive
Carson Curtiss Willard Bldgs,1651 Glenn Curtiss & 1550 - 1650 Charles Willard
Carson Town Center,500 Carson Town Center
Casa de Oro Shopping Center - 2019,9817-9845 Campo Road
Casa del Sol,10966 W. Ratner St.
Cascade & Bradenton Portfolio,"130, 150 & 250 E Wilson Bridge; 5025 Bradenton Ave"
Catalina Club Luxury Apartments,100 Catalina Lane
Cayuga Place Assumption,131 E Green St
CCLRC/ Developer Partnership Program,18416 Lakeshore Bl
CCLRC/ Developer Partnership Program,15409 Parkgrove
CCLRC/ Developer Partnership Program,16722 Grovewood
CCLRC/ Developer Partnership Program,2460 Greenvale
CCLRC/ Developer Partnership Program,13809 Earlwood
CCLRC/ Developer Partnership Program,908 Stevenson
CCLRC/ Developer Partnership Program,16010 Arcade
CCLRC/ Developer Partnership Program,15314 Shiloh
CCLRC/ Developer Partnership Program,1259 E 187
CCLRC/ Developer Partnership Program,1309 E 188
CCLRC/ Developer Partnership Program,1422 E 175
CCLRC/ Developer Partnership Program,932 London
CCLRC/ Developer Partnership Program,496 E 108
CCLRC/ Developer Partnership Program,382 E 162
CCLRC/ Developer Partnership Program,463 E 118
CCLRC/ Developer Partnership Program,505 E 109
CCLRC/ Developer Partnership Program,509 E 109
CCLRC/ Developer Partnership Program,429 E 156
Cedar Moor Apartments (AHF),2410 Melvid Court
Cedar Ridge Apartments,7601 9th Ave
Centennial Village Bridge (SVN),1200 E State St
